card_slug,card_display_name,card_card_name,card_issuer,card_annual_fee,card_status,card_open_date,card_open_month,card_open_day,card_source_url,card_image_url,card_notes,benefit_name,benefit_normalized_name,benefit_category,benefit_cycle_type,benefit_unit,benefit_default_amount_total,benefit_amount_overrides,benefit_default_deadline_rule,benefit_default_period_rule,benefit_active,benefit_notes
amex-platinum,Amex Platinum,Amex Platinum,American Express,895,,,,,https://www.uscreditcardguide.com/amex-platinum/,https://www.uscreditcardguide.com/wp-content/uploads/NUS000000237_480x304_straight_withname.png.webp,,$219 CLEAR+ Credit,CLEAR Plus Credit,travel,annual,usd_credit,219,,,,TRUE,
amex-gold,Amex Gold,Amex Gold,American Express,325,,,,,https://www.uscreditcardguide.com/amex-premier-rewards-gold/,https://www.uscreditcardguide.com/wp-content/uploads/gold-card.png,,$120 Dining Credit,Dining Credit,dining,monthly,usd_credit,10,,,,TRUE,$10 monthly at Grubhub Buffalo Wild Wings Five Guys The Cheesecake Factory and Wonder
amex-gold,Amex Gold,Amex Gold,American Express,325,,,,,https://www.uscreditcardguide.com/amex-premier-rewards-gold/,https://www.uscreditcardguide.com/wp-content/uploads/gold-card.png,,$120 Uber Cash,Uber Cash,travel,monthly,usd_credit,10,,,,TRUE,$10 monthly
amex-gold,Amex Gold,Amex Gold,American Express,325,,,,,https://www.uscreditcardguide.com/amex-premier-rewards-gold/,https://www.uscreditcardguide.com/wp-content/uploads/gold-card.png,,$100 Resy Credit,Resy Credit,dining,semiannual,usd_credit,50,,,,TRUE,up to $50 Jan-Jun and $50 Jul-Dec
amex-gold,Amex Gold,Amex Gold,American Express,325,,,,,https://www.uscreditcardguide.com/amex-premier-rewards-gold/,https://www.uscreditcardguide.com/wp-content/uploads/gold-card.png,,$84 Dunkin' Credit,Dunkin' Credit,dining,monthly,usd_credit,7,,,,TRUE,$7 monthly
amex-marriott-bonvoy-business,Amex Marriott Bonvoy Business,Marriott Bonvoy Business American Express Card,American Express,125.00,,,,,https://www.uscreditcardguide.com/amex-spg-business/,https://www.uscreditcardguide.com/wp-content/uploads/amex-marriott-bonvoy-business.png.jpeg,,35k Free Night Award,35k free night award,travel,membership_year,cert,1.00,,,,TRUE,"Anniversary Free Night Award valid for a one-night hotel stay at a property with a redemption level at or under 35,000 points"
amex-delta-gold-business,Amex Delta Gold Business,Delta SkyMiles Gold Business American Express Card,American Express,150.00,,,,,https://www.uscreditcardguide.com/amex-gold-delta-skymiles-business/,https://www.uscreditcardguide.com/wp-content/uploads/gold-delta-skymiles-business.png.avif,,$150 Delta Stays Credit,delta stays credit,travel,annual,usd_credit,150.00,,,,TRUE,Up to $150 back annually on prepaid eligible hotels or vacation rentals booked on Delta Stays
amex-delta-gold-business,Amex Delta Gold Business,Delta SkyMiles Gold Business American Express Card,American Express,150.00,,,,,https://www.uscreditcardguide.com/amex-gold-delta-skymiles-business/,https://www.uscreditcardguide.com/wp-content/uploads/gold-delta-skymiles-business.png.avif,,$200 Delta Flight Credit,delta flight credit,travel,annual,spend_to_goal_usd,10000.00,,,,TRUE,"$200 Delta Flight Credit after spending $10,000 in eligible purchases in a calendar year"
chase-hyatt,Chase Hyatt,Chase World of Hyatt,Chase,95.00,,,,,https://www.uscreditcardguide.com/chase-world-of-hyatt/,https://www.uscreditcardguide.com/wp-content/uploads/8a0c0d90-ec61-11ea-b568-e36303e248dc.png.jpeg,,Cat 1-4 Free Night Award,cat 1-4 free night award,travel,membership_year,cert,1.00,,,,TRUE,Anniversary Free Night Award valid for one night at any Category 1-4 Hyatt hotel or resort
chase-ihg-premier,Chase IHG Premier,Chase IHG One Rewards Premier Credit Card,Chase,99.00,,,,,https://www.uscreditcardguide.com/chase-ihg-premier/,https://www.uscreditcardguide.com/wp-content/uploads/f30e25ad-2296-4b8b-9c37-77c91a8c4c5e.webp,,$25 UA TravelBank (Jan-Jun),ua travelbank jan-jun,travel,semiannual,usd_credit,25.00,,,,TRUE,"$25 United TravelBank cash deposited around Jan 1, valid through Jul 15"
chase-ihg-premier,Chase IHG Premier,Chase IHG One Rewards Premier Credit Card,Chase,99.00,,,,,https://www.uscreditcardguide.com/chase-ihg-premier/,https://www.uscreditcardguide.com/wp-content/uploads/f30e25ad-2296-4b8b-9c37-77c91a8c4c5e.webp,,$25 UA TravelBank (Jul-Dec),ua travelbank jul-dec,travel,semiannual,usd_credit,25.00,,,,TRUE,"$25 United TravelBank cash deposited around Jul 1, valid through Jan 15 of next year"
chase-ihg-premier,Chase IHG Premier,Chase IHG One Rewards Premier Credit Card,Chase,99.00,,,,,https://www.uscreditcardguide.com/chase-ihg-premier/,https://www.uscreditcardguide.com/wp-content/uploads/f30e25ad-2296-4b8b-9c37-77c91a8c4c5e.webp,,40k Free Night Award,40k free night award,travel,membership_year,cert,1.00,,,,TRUE,"Anniversary Free Night Award valid for a one-night hotel stay at a property with a redemption level at or under 40,000 points"
chase-sapphire-preferred,Chase Sapphire Preferred,Chase Sapphire Preferred (CSP),Chase,95.00,,,,,https://www.uscreditcardguide.com/chase-sapphire-preferred/,https://www.uscreditcardguide.com/wp-content/uploads/csp.png,,$100 Chase Travel Hotel Credit,chase travel hotel credit,travel,membership_year,usd_credit,100.00,,,,TRUE,$100 annual statement credit for hotel stays purchased through Chase Travel
capital-one-venture-x,Capital One Venture X,Capital One Venture X,Capital One,395.00,,,,,https://www.uscreditcardguide.com/capital-one-venture-x/,https://www.uscreditcardguide.com/wp-content/uploads/c1-venture-x-highres.png,,$300 Capital One Travel Credit,capital one travel credit,travel,membership_year,usd_credit,300.00,,,,TRUE,$300 annual statement credit for bookings through Capital One Travel
chase-marriott-boundless,Chase Marriott Boundless,Chase Marriott Boundless,Chase,95,,,,,https://www.uscreditcardguide.com/chase-marriott-premier-plus/,https://www.uscreditcardguide.com/wp-content/uploads/3701415_MRRT18_BXXXXX_Boundless_VisaSig_RGB.jpg,,35k Free Night Award,Free Night Award,travel,membership_year,cert,1,,,,TRUE,Up to 35k points
chase-united-business,Chase United Business,Chase United Business,Chase,150,,,,,https://www.uscreditcardguide.com/chase-united-mileageplus-explorer-business/,https://www.uscreditcardguide.com/wp-content/uploads/33373120-29b1-11ef-b4f7-c5c0eef3d8bb.png.jpeg,,5 United Flights ($100+) for $125 TravelBank,United Flights for TravelBank,travel,annual,event,5,,,,TRUE,Complete 5 United flight purchases of $100+ to earn $125 TravelBank Cash
chase-united-business,Chase United Business,Chase United Business,Chase,150,,,,,https://www.uscreditcardguide.com/chase-united-mileageplus-explorer-business/,https://www.uscreditcardguide.com/wp-content/uploads/33373120-29b1-11ef-b4f7-c5c0eef3d8bb.png.jpeg,,$100 United Hotels Credit,United Hotels Credit,travel,membership_year,usd_credit,100,,,,TRUE,$50 back on first two prepaid hotel reservations at United Hotels per anniversary year
chase-united-business,Chase United Business,Chase United Business,Chase,150,,,,,https://www.uscreditcardguide.com/chase-united-mileageplus-explorer-business/,https://www.uscreditcardguide.com/wp-content/uploads/33373120-29b1-11ef-b4f7-c5c0eef3d8bb.png.jpeg,,$50 Avis/Budget Credit,Avis/Budget Credit,travel,membership_year,usd_credit,50,,,,TRUE,$25 United TravelBank cash on first two car rentals at cars.united.com per anniversary year
chase-united-business,Chase United Business,Chase United Business,Chase,150,,,,,https://www.uscreditcardguide.com/chase-united-mileageplus-explorer-business/,https://www.uscreditcardguide.com/wp-content/uploads/33373120-29b1-11ef-b4f7-c5c0eef3d8bb.png.jpeg,,$100 Rideshare Credit,Rideshare Credit,travel,monthly,usd_credit,8,"{""12"": 12}",,,TRUE,$100 rideshare credit: $8/mo ($12 in Dec). Yearly opt-in required.
citi-strata-premier,Citi Strata Premier Card,Citi Strata Premier Card,Citi,95,,,,,https://www.uscreditcardguide.com/citi-thankyou-premier/,https://www.uscreditcardguide.com/wp-content/uploads/2232256de6f88bc15c689b06772755ab67f9c488.jpeg,,$100 Hotel Credit (Min $500 stay),Hotel Credit,travel,annual,usd_credit,100,,,,TRUE,Minimum $500 stay at thankyou.com
amex-green,Amex Green,Amex Green,American Express,150,,,,,https://www.uscreditcardguide.com/amex-green/,https://www.uscreditcardguide.com/wp-content/uploads/amex-green-card-new.jpg,,$189 CLEAR Plus Credit,CLEAR Plus Credit,travel,annual,usd_credit,189,,,,TRUE,
amex-marriott-brilliant,Amex Marriott Brilliant,Amex Marriott Brilliant,American Express,650,,,,,https://www.uscreditcardguide.com/amex-spg-luxury/,https://www.uscreditcardguide.com/wp-content/uploads/amex-marriott-bonvoy-brilliant-1-700x443.jpg,,Dining Credit,dining_credit,dining,monthly,usd_credit,25,,,,TRUE,Up to $25 per month
amex-marriott-brilliant,Amex Marriott Brilliant,Amex Marriott Brilliant,American Express,650,,,,,https://www.uscreditcardguide.com/amex-spg-luxury/,https://www.uscreditcardguide.com/wp-content/uploads/amex-marriott-bonvoy-brilliant-1-700x443.jpg,,Free Night Certificate,free_night_certificate,travel,membership_year,cert,1,,,,TRUE,Up to 85k points
amex-marriott-brilliant,Amex Marriott Brilliant,Amex Marriott Brilliant,American Express,650,,,,,https://www.uscreditcardguide.com/amex-spg-luxury/,https://www.uscreditcardguide.com/wp-content/uploads/amex-marriott-bonvoy-brilliant-1-700x443.jpg,,Global Entry / TSA PreCheck Credit,global_entry_credit,travel,multi_year,usd_credit,100,,,,TRUE,Up to $100 every 4 years
chase-sapphire-reserve,Chase Sapphire Reserve,Chase Sapphire Reserve,Chase,550,,,,,https://www.uscreditcardguide.com/chase-sapphire-reserve/,https://www.uscreditcardguide.com/wp-content/uploads/CSR2025.webp,,Travel Credit,travel_credit,travel,annual,usd_credit,300,,,,TRUE,
chase-sapphire-reserve,Chase Sapphire Reserve,Chase Sapphire Reserve,Chase,550,,,,,https://www.uscreditcardguide.com/chase-sapphire-reserve/,https://www.uscreditcardguide.com/wp-content/uploads/CSR2025.webp,,The Edit Hotel Credit,the_edit_hotel_credit,travel,annual,usd_credit,500,,,,TRUE,Two $250 credits per year
chase-sapphire-reserve,Chase Sapphire Reserve,Chase Sapphire Reserve,Chase,550,,,,,https://www.uscreditcardguide.com/chase-sapphire-reserve/,https://www.uscreditcardguide.com/wp-content/uploads/CSR2025.webp,,DoorDash Credit,doordash_credit,dining,monthly,usd_credit,25,,,,TRUE,Up to $25 per month
chase-sapphire-reserve,Chase Sapphire Reserve,Chase Sapphire Reserve,Chase,550,,,,,https://www.uscreditcardguide.com/chase-sapphire-reserve/,https://www.uscreditcardguide.com/wp-content/uploads/CSR2025.webp,,Lyft Credit,lyft_credit,travel,monthly,usd_credit,10,,,,TRUE,Up to $10 per month
chase-ua-explorer,Chase UA Explorer,Chase UA Explorer,Chase,95,,,,,https://www.uscreditcardguide.com/chase-united-mileageplus-explorer/,https://www.uscreditcardguide.com/wp-content/uploads/explorer-consumer-sm.png,,$100 United Hotels Credit,united-hotels-credit,travel,membership_year,usd_credit,100,,,,TRUE,$50 back on first two prepaid hotel reservations at United Hotels per anniversary year
chase-ua-explorer,Chase UA Explorer,Chase UA Explorer,Chase,95,,,,,https://www.uscreditcardguide.com/chase-united-mileageplus-explorer/,https://www.uscreditcardguide.com/wp-content/uploads/explorer-consumer-sm.png,,$50 Avis/Budget Credit,avis-budget-credit,travel,membership_year,usd_credit,50,,,,TRUE,$25 United TravelBank cash on first two car rentals at cars.united.com per anniversary year
citi-strata-elite,Citi Strata Elite,Citi Strata Elite,Citi,495,,,,,https://www.uscreditcardguide.com/citi-strata-elite/,https://www.uscreditcardguide.com/wp-content/uploads/IMG_4048.webp,,$300 Citi Travel Hotel Credit,citi-travel-hotel-credit,travel,annual,usd_credit,300,,,,TRUE,Up to $300 statement credit for minimum 2-night stay booked through Citi Travel per calendar year
boa-alaska-summit,BOA Alaska Atmos Summit,BOA Alaska Atmos Summit,Bank of America,150,,,,,https://www.uscreditcardguide.com/boa-alaska-atmos-summit/,https://www.uscreditcardguide.com/wp-content/uploads/Summit_resize-300x189.png,,Annual 25k Global Companion Fare,25k Companion Fare,travel,annual,cert,1,,,,TRUE,
